Index,B cells,Epithelial cells,Mast cells,Myeloids,Stromal cells,T cells
A1BG,0.42953643,0.0064813835,0.08224908,0.20928496,0.41629392,0.11568589
A1BG-AS1,0.01874258,0.00020231887,0.017612021,0.01896778,0.048725907,0.0158146
A1CF,0.0005445481,0.2437142,0.006170181,0.0012289679,0.0015157093,0.00014972695
A2M,0.055017315,0.02517578,0.019967496,0.70748824,6.6191354,0.0068035666
A2M-AS1,0.00027339204,0.0005288926,0.03134255,0.0030360976,0.010175121,0.00918187
A2ML1,0.0002630116,0.020309037,0.11973436,0.0003759009,0.00037394647,7.040684e-05
A4GALT,0.0052104914,0.02040154,0.006504711,0.0055189864,0.5800321,0.0007948842
A4GNT,0.00023220108,9.663376e-05,0.050693206,0.0003469432,0.00023755804,5.7952013e-05
AAAS,0.06219758,0.30770043,0.009930262,0.03630597,0.14315495,0.018135577
AACS,0.037403252,0.27879447,0.030460902,0.016711008,0.07907997,0.014044589
AADAC,0.00016915468,0.0038841874,0.020029318,0.00039265136,0.0026179373,7.5897544e-05
AADAT,0.00021214745,0.09101551,0.005717236,0.0006003784,0.01990142,0.0001132179
AAGAB,0.033246245,0.42705846,0.01847839,0.03862939,0.1365763,0.034313813
AAK1,0.05011551,0.28455737,0.07803823,0.16872166,0.2990505,0.34993672
AAMDC,0.043063983,0.6969457,0.06114751,0.11714342,0.70443773,0.027923796
AAMP,0.24103804,1.8081017,0.06809071,0.24070458,0.6742996,0.12549606
AANAT,0.002799678,0.00061957457,0.0066127595,0.00024650554,0.0006115683,4.879375e-05
AAR2,0.028008165,0.29052356,0.019366352,0.033534046,0.13004117,0.024646059
AARD,0.0002467268,0.000119874814,0.02854527,0.0005254143,0.016198445,0.00026520062
AARS,0.13001725,0.447993,0.01912766,0.055269912,0.19660045,0.019659849
AARS2,0.006429144,0.04732924,0.010569531,0.013870293,0.020011775,0.0020873973
AARSD1,0.10016864,0.15648855,0.008922888,0.012522407,0.06003606,0.06527095
AASDH,0.029354995,0.21593969,0.0061817206,0.025568377,0.091950856,0.02361315
AASDHPPT,0.076016106,0.33592916,0.0294867,0.070405304,0.17563869,0.06501161
AASS,0.0038831718,0.011711608,0.017531835,0.00057403423,0.12715356,0.0005861376
AATBC,0.00023816687,0.0035656353,0.0061915605,0.0042454074,0.00025309948,5.8309553e-05
AATF,0.11015926,0.731823,0.036035478,0.13914631,0.27014786,0.11928947
